Name,ID,Height,Weight,Position,Height_inches,Archetype
Jason Collier,2044,7-0,260.0,Center,84,Center
Conner Henry,77002,6-7,195.0,Guard,79,Guard
Kevin Duckworth,404,7-0,300.0,Center,84,Center
Josh Green,1630182,6-5,200.0,Guard,77,Guard
Paul Reed,1630194,6-9,210.0,Forward,81,Forward
Dave Deutsch,76560,6-1,170.0,Guard,73,Guard
Stephon Marbury,950,6-2,205.0,Guard,74,Guard
Brady Walker,78434,6-6,205.0,Forward,78,Forward
Tang Hamilton,2347,6-8,205.0,Forward,80,Forward
Dave Newmark,77712,7-0,240.0,Center,84,Center
Corey Maggette,1894,6-6,225.0,Forward,78,Forward
Chimezie Metu,1629002,6-10,225.0,Forward-Center,82,Forward
Reece Beekman,1641736,6-3,190.0,Guard,75,Guard
Cliff T. Robinson,77986,6-9,220.0,Forward,81,Forward
Ryan Lorthridge,943,6-4,190.0,Guard,76,Guard
Henry Pearcy,77826,6-1,170.0,Guard,73,Guard
Bryce Cotton,203955,6-1,165.0,Guard,73,Guard
Bob Dandridge,76500,6-6,195.0,Forward,78,Forward
Stan Stutz,78276,5-10,170.0,Guard,70,Guard
